(3,0,22)
(3,1,22.1)
(3,2,22.5)
(3,3,21.5)
(3,4,23)
(3,5,23.2)
(3,6,23.8)
(3,7,24.1)
(3,8,24.6)
(3,9,25.1)
(3,10,25.2)
(3,11,25.5)
(3,12,26.7)
(3,13,27)
(3,14,27.1)
(3,15,27)
(3,16,27.4)
(3,17,27.8)
(3,18,27)
(3,19,26.9)
(3,20,26.5)
(3,21,26.7)
(3,22,25.8)
(3,23,24.7)
(4,0,23.6)
(4,1,22.9)
(4,2,22.6)
(4,3,21.5)
(4,4,20.9)
(4,5,20.5)
(4,6,20.1)
(4,7,19.8)
(4,8,20.5)
(4,9,21.4)
(4,10,22.5)
(4,11,23.6)
(4,12,25)
(4,13,26.4)
(4,14,26.5)
(4,15,28.9)
(4,16,28.7)
(4,17,28.6)
(4,18,28.5)
(4,19,28.4)
(4,20,28.5)
(4,21,27.7)
(4,22,27.5)
(4,23,26.9)
(5,0,24.3)
(5,1,23.9)
(5,2,22.7)
